Shop_id,Lng,Lat,shop_class
S001,121.16359,31.29408,67
S002,121.18938,31.04398,116
S003,121.19005,31.05261,116
S004,121.19011,31.04514,116
S005,121.19215,31.04359,116
S006,121.19285,31.04882,116
S007,121.19516,31.04743,116
S008,121.19567,31.05134,116
S009,121.19666,31.05031,116
S010,121.19746,31.04984,116
S011,121.19769,31.04961,116
S012,121.19771,31.04961,116
S013,121.19773,31.04975,116
S014,121.1982,31.04958,116
S015,121.19868,31.04957,116
S016,121.19943,31.04968,116
S017,121.19945,31.0497,116
S018,121.1997,31.04956,116
S019,121.19971,31.04985,116
S020,121.19988,31.05158,116
S021,121.19992,31.04959,116
S022,121.20014,31.05208,116
S023,121.20035,31.05107,116
S024,121.2004,31.04909,116
S025,121.20048,31.04954,116
S026,121.20054,31.04952,116
S027,121.20062,31.0497,116
S028,121.20064,31.05093,116
S029,121.20081,31.04038,116
S030,121.20092,31.05288,116
S031,121.20154,31.04963,116
S032,121.20169,31.05123,116
S033,121.20173,31.05006,116
S034,121.20251,31.04982,116
S035,121.20252,31.04941,116
S036,121.20262,31.04944,116
S037,121.20282,31.04968,116
S038,121.20314,31.04951,116
S039,121.20332,31.05003,116
S040,121.20335,31.04999,116
S041,121.20338,31.05147,116
S042,121.20343,31.04969,116
S043,121.20346,31.0494,116
S044,121.20355,31.0496,116
S045,121.20356,31.04976,116
S046,121.20362,31.04989,116
S047,121.20374,31.04933,116
S048,121.20429,31.0496,116
S049,121.20435,31.04987,116
S050,121.20539,31.04976,116
S051,121.2062,31.04975,116
S052,121.20716,31.04959,116
S053,121.20878,31.04958,116
S054,121.20907,31.04939,116
S055,121.20919,31.04942,116
S056,121.20926,31.04939,116
S057,121.20997,31.0494,116
S058,121.21083,31.04189,116
S059,121.21086,31.04107,116
S060,121.21514,31.04986,116
S061,121.21523,31.05095,116
S062,121.21701,31.04957,116
S063,121.21717,31.04955,116
S064,121.21726,31.04956,116
S065,121.2186,31.04959,116
S066,121.21872,31.04956,116
S067,121.23052,31.10895,9
S068,121.23077,31.10903,9
S069,121.23196,31.03225,116
S070,121.23317,31.06296,9
S071,121.23379,31.0591,9
S072,121.23628,31.10708,9
S073,121.23635,31.10705,9
S074,121.24325,31.3668,12
S075,121.24901,31.03322,112
S076,121.25605,31.01537,112
S077,121.26035,31.11694,35
S078,121.26074,31.11761,35
S079,121.26956,31.1143,35
S080,121.26988,31.11459,35
S081,121.30279,31.15801,102
S082,121.31378,31.15121,102
S083,121.31659,31.13394,102
S084,121.32357,31.2406,22
S085,121.33042,31.1293,102
S086,121.33654,30.71778,61
S087,121.34388,31.14317,5
S088,121.34431,31.14264,5
S089,121.34641,31.15445,5
S090,121.35234,31.14764,5
S091,121.35587,31.17649,59
S092,121.36386,31.21772,69
S093,121.36514,31.21764,69
S094,121.36813,31.21628,69
S095,121.36995,31.1917,85
S096,121.37197,31.30968,29
S097,121.37251,31.21636,69
S098,121.37263,31.21546,69
S099,121.37445,31.31413,29
S100,121.37456,31.10848,39
S101,121.37481,31.21621,69
S102,121.37809,31.20747,85
S103,121.37851,31.31437,27
S104,121.37935,31.3146,27
S105,121.3796,31.10602,39
S106,121.37985,31.11628,91
S107,121.38182,31.21566,69
S108,121.38197,31.09007,39
S109,121.38224,31.2035,85
S110,121.38419,31.31475,27
S111,121.38452,31.25031,69
S112,121.38525,31.31965,27
S113,121.38539,31.20687,85
S114,121.38573,31.32033,27
S115,121.3859,31.31587,27
S116,121.3864,31.31582,27
S117,121.38646,31.21244,85
S118,121.38651,31.21246,85
S119,121.3869,31.31509,27
S120,121.38695,31.31565,27
S121,121.387,31.31494,27
S122,121.38702,31.13616,90
S123,121.38703,31.31491,27
S124,121.38708,31.3151,27
S125,121.3872,31.11499,90
S126,121.3873,31.24088,69
S127,121.3877,31.32103,27
S128,121.38793,31.24056,69
S129,121.38929,31.31617,27
S130,121.38956,31.0983,114
S131,121.38964,31.23461,69
S132,121.39022,31.10945,39
S133,121.39038,31.10741,39
S134,121.39076,31.02598,21
S135,121.39085,31.10988,39
S136,121.3912,31.11013,39
S137,121.39182,31.02617,21
S138,121.39203,31.02599,21
S139,121.39313,31.02568,21
S140,121.39364,31.21246,63
S141,121.39433,31.09185,114
S142,121.39598,31.22364,45
S143,121.39623,31.22315,45
S144,121.39683,31.2143,45
S145,121.39698,31.21457,45
S146,121.39755,31.12263,90
S147,121.39764,31.2148,45
S148,121.39771,31.20995,63
S149,121.39894,31.23008,45
S150,121.39983,31.20573,63
S151,121.39995,31.15749,90
