,Shop_id,shop_class,Lng_shop,Lat_shop,Lng_spot,Lat_spot,Num,start_time,end_time
1,1,108,121.18938,31.04398,121.199493,31.050938,1,519,609
2,1,108,121.18938,31.04398,121.220497,31.049629,1,529,619
3,1,108,121.18938,31.04398,121.218231,31.046228,3,448,538
4,1,108,121.18938,31.04398,121.202805,31.050377,1,216,306
5,1,108,121.18938,31.04398,121.202805,31.050377,1,588,678
6,2,116,121.19011,31.04514,121.217018,31.049732,5,628,718
7,3,116,121.19065,31.05253,121.1894,31.053415,1,269,359
8,3,116,121.19065,31.05253,121.199493,31.050938,1,375,465
9,3,116,121.19065,31.05253,121.197113,31.054916,2,229,319
10,3,116,121.19065,31.05253,121.197113,31.054916,4,299,389
11,3,116,121.19065,31.05253,121.197113,31.054916,1,581,671
12,3,116,121.19065,31.05253,121.299438,31.433102,6,384,474
13,3,116,121.19065,31.05253,121.299438,31.433102,5,568,658
14,3,116,121.19065,31.05253,121.217018,31.049732,3,274,364
15,3,116,121.19065,31.05253,121.197929,31.050875,1,501,591
16,3,116,121.19065,31.05253,121.2873,30.695353,1,568,658
17,3,116,121.19065,31.05253,121.19046,31.051914,1,393,483
18,4,116,121.19215,31.04359,121.208267,31.038284,1,309,399
19,4,116,121.19215,31.04359,121.192482,31.04207,1,601,691
20,4,116,121.19215,31.04359,121.187263,31.05117,1,252,342
21,4,116,121.19215,31.04359,121.217018,31.049732,1,217,307
22,4,116,121.19215,31.04359,121.19091,31.049822,2,269,359
23,4,116,121.19215,31.04359,121.19046,31.051914,2,236,326
24,5,116,121.19285,31.04882,121.197113,31.054916,1,519,609
25,7,116,121.19292,31.04352,121.299438,31.433102,11,450,540
26,8,116,121.19516,31.04743,121.218231,31.046228,1,596,686
27,10,116,121.19666,31.05031,121.199493,31.050938,7,583,673
28,10,116,121.19666,31.05031,121.202805,31.050377,8,597,687
29,11,116,121.19746,31.04984,121.217873,31.042234,3,613,703
30,11,116,121.19746,31.04984,121.199493,31.050938,2,289,379
31,11,116,121.19746,31.04984,121.197113,31.054916,1,621,711
32,11,116,121.19746,31.04984,121.217018,31.049732,1,354,444
33,11,116,121.19746,31.04984,121.1959,31.050434,1,241,331
34,11,116,121.19746,31.04984,121.197929,31.050875,2,582,672
35,11,116,121.19746,31.04984,121.223541,31.03047,1,298,388
36,11,116,121.19746,31.04984,121.208687,31.054615,1,547,637
37,12,116,121.19769,31.04961,120.875702,31.119118,2,557,647
38,12,116,121.19769,31.04961,121.229614,31.832016,1,324,414
39,12,116,121.19769,31.04961,121.209389,31.050249,1,598,688
40,12,116,121.19769,31.04961,121.199493,31.050938,1,453,543
41,12,116,121.19769,31.04961,121.199493,31.050938,3,627,717
42,12,116,121.19769,31.04961,121.217018,31.049732,1,624,714
43,12,116,121.19769,31.04961,121.228935,31.04467,1,596,686
44,12,116,121.19769,31.04961,121.21508,31.050501,1,259,349
45,13,116,121.19771,31.04961,121.198265,31.045639,3,624,714
46,14,116,121.19773,31.04975,121.204124,31.050911,1,414,504
47,14,116,121.19773,31.04975,120.875702,31.119118,1,343,433
48,14,116,121.19773,31.04975,121.417244,31.226173,1,222,312
49,14,116,121.19773,31.04975,121.229614,31.832016,1,562,652
50,14,116,121.19773,31.04975,121.199493,31.050938,1,533,623
51,14,116,121.19773,31.04975,121.217018,31.049732,2,255,345
52,14,116,121.19773,31.04975,121.217018,31.049732,1,610,700
53,14,116,121.19773,31.04975,121.1959,31.050434,3,253,343
54,14,116,121.19773,31.04975,121.1959,31.050434,1,553,643
55,14,116,121.19773,31.04975,121.202805,31.050377,1,599,689
56,14,116,121.19773,31.04975,121.19046,31.051914,1,605,695
57,15,116,121.1982,31.04958,121.199493,31.050938,1,264,354
58,15,116,121.1982,31.04958,121.199493,31.050938,1,564,654
59,15,116,121.1982,31.04958,121.197929,31.050875,1,293,383
60,16,116,121.19868,31.04957,121.204124,31.050911,2,300,390
61,16,116,121.19868,31.04957,121.1894,31.053415,1,283,373
