Unnamed: 0,shop_class,Lng_shop,Lat_shop,Lng_spot,Lat_spot,Num,start_time,end_time,kcenter
1,108,121.18938,31.04398,121.199493,31.050938,1,519,609,1
2,108,121.18938,31.04398,121.220497,31.049629,1,529,619,1
3,108,121.18938,31.04398,121.218231,31.046228,3,448,538,1
4,108,121.18938,31.04398,121.202805,31.050377,1,216,306,1
5,108,121.18938,31.04398,121.202805,31.050377,1,588,678,1
6,116,121.19011,31.04514,121.217018,31.049732,5,628,718,1
7,116,121.19065,31.05253,121.1894,31.053415,1,269,359,1
8,116,121.19065,31.05253,121.199493,31.050938,1,375,465,1
9,116,121.19065,31.05253,121.197113,31.054916,2,229,319,1
10,116,121.19065,31.05253,121.197113,31.054916,4,299,389,1
11,116,121.19065,31.05253,121.197113,31.054916,1,581,671,1
12,116,121.19065,31.05253,121.299438,31.433102,6,384,474,1
13,116,121.19065,31.05253,121.299438,31.433102,5,568,658,1
14,116,121.19065,31.05253,121.217018,31.049732,3,274,364,1
15,116,121.19065,31.05253,121.197929,31.050875,1,501,591,1
16,116,121.19065,31.05253,121.2873,30.695353,1,568,658,1
17,116,121.19065,31.05253,121.19046,31.051914,1,393,483,1
18,116,121.19215,31.04359,121.208267,31.038284,1,309,399,1
19,116,121.19215,31.04359,121.192482,31.04207,1,601,691,1
20,116,121.19215,31.04359,121.187263,31.05117,1,252,342,1
21,116,121.19215,31.04359,121.217018,31.049732,1,217,307,1
22,116,121.19215,31.04359,121.19091,31.049822,2,269,359,1
23,116,121.19215,31.04359,121.19046,31.051914,2,236,326,1
24,116,121.19285,31.04882,121.197113,31.054916,1,519,609,1
25,116,121.19292,31.04352,121.299438,31.433102,11,450,540,1
26,116,121.19516,31.04743,121.218231,31.046228,1,596,686,1
27,116,121.19666,31.05031,121.199493,31.050938,7,583,673,1
28,116,121.19666,31.05031,121.202805,31.050377,8,597,687,1
29,116,121.19746,31.04984,121.217873,31.042234,3,613,703,1
30,116,121.19746,31.04984,121.199493,31.050938,2,289,379,1
31,116,121.19746,31.04984,121.197113,31.054916,1,621,711,1
32,116,121.19746,31.04984,121.217018,31.049732,1,354,444,1
33,116,121.19746,31.04984,121.1959,31.050434,1,241,331,1
34,116,121.19746,31.04984,121.197929,31.050875,2,582,672,1
35,116,121.19746,31.04984,121.223541,31.03047,1,298,388,1
36,116,121.19746,31.04984,121.208687,31.054615,1,547,637,1
37,116,121.19769,31.04961,120.875702,31.119118,2,557,647,1
38,116,121.19769,31.04961,121.229614,31.832016,1,324,414,1
39,116,121.19769,31.04961,121.209389,31.050249,1,598,688,1
40,116,121.19769,31.04961,121.199493,31.050938,1,453,543,1
41,116,121.19769,31.04961,121.199493,31.050938,3,627,717,1
42,116,121.19769,31.04961,121.217018,31.049732,1,624,714,1
43,116,121.19769,31.04961,121.228935,31.04467,1,596,686,1
44,116,121.19769,31.04961,121.21508,31.050501,1,259,349,1
45,116,121.19771,31.04961,121.198265,31.045639,3,624,714,1
46,116,121.19773,31.04975,121.204124,31.050911,1,414,504,1
47,116,121.19773,31.04975,120.875702,31.119118,1,343,433,1
48,116,121.19773,31.04975,121.417244,31.226173,1,222,312,1
49,116,121.19773,31.04975,121.229614,31.832016,1,562,652,1
50,116,121.19773,31.04975,121.199493,31.050938,1,533,623,1
51,116,121.19773,31.04975,121.217018,31.049732,2,255,345,1
52,116,121.19773,31.04975,121.217018,31.049732,1,610,700,1
53,116,121.19773,31.04975,121.1959,31.050434,3,253,343,1
54,116,121.19773,31.04975,121.1959,31.050434,1,553,643,1
55,116,121.19773,31.04975,121.202805,31.050377,1,599,689,1
56,116,121.19773,31.04975,121.19046,31.051914,1,605,695,1
57,116,121.1982,31.04958,121.199493,31.050938,1,264,354,1
58,116,121.1982,31.04958,121.199493,31.050938,1,564,654,1
59,116,121.1982,31.04958,121.197929,31.050875,1,293,383,1
60,116,121.19868,31.04957,121.204124,31.050911,2,300,390,1
61,116,121.19868,31.04957,121.1894,31.053415,1,283,373,1
62,116,121.19868,31.04957,120.875702,31.119118,4,404,494,1
63,116,121.19868,31.04957,121.39743,31.206272,1,509,599,1
64,116,121.19868,31.04957,121.229614,31.832016,2,542,632,1
65,116,121.19868,31.04957,121.209389,31.050249,2,386,476,1
66,116,121.19868,31.04957,121.209389,31.050249,1,623,713,1
67,116,121.19868,31.04957,121.199493,31.050938,4,248,338,1
68,116,121.19868,31.04957,121.199493,31.050938,6,284,374,1
69,116,121.19868,31.04957,121.199493,31.050938,1,335,425,1
70,116,121.19868,31.04957,121.199493,31.050938,14,493,583,1
71,116,121.19868,31.04957,121.199493,31.050938,2,549,639,1
72,116,121.19868,31.04957,121.199493,31.050938,2,597,687,1
73,116,121.19868,31.04957,121.187263,31.05117,1,521,611,1
74,116,121.19868,31.04957,121.299438,31.433102,1,232,322,1
75,116,121.19868,31.04957,121.217018,31.049732,1,221,311,1
76,116,121.19868,31.04957,121.217018,31.049732,2,269,359,1
77,116,121.19868,31.04957,121.217018,31.049732,1,329,419,1
78,116,121.19868,31.04957,121.217018,31.049732,13,427,517,1
79,116,121.19868,31.04957,121.217018,31.049732,1,458,548,1
80,116,121.19868,31.04957,121.217018,31.049732,3,567,657,1
81,116,121.19868,31.04957,121.217018,31.049732,1,602,692,1
82,116,121.19868,31.04957,121.218231,31.046228,5,545,635,1
83,116,121.19868,31.04957,121.198265,31.045639,1,249,339,1
84,116,121.19868,31.04957,121.198265,31.045639,1,372,462,1
85,116,121.19868,31.04957,121.198265,31.045639,1,501,591,1
86,116,121.19868,31.04957,121.1959,31.050434,2,252,342,1
87,116,121.19868,31.04957,121.1959,31.050434,2,299,389,1
88,116,121.19868,31.04957,121.1959,31.050434,1,433,523,1
89,116,121.19868,31.04957,121.1959,31.050434,1,547,637,1
90,116,121.19868,31.04957,121.1959,31.050434,3,610,700,1
91,116,121.19868,31.04957,121.197929,31.050875,1,218,308,1
92,116,121.19868,31.04957,121.197929,31.050875,3,265,355,1
93,116,121.19868,31.04957,121.197929,31.050875,2,310,400,1
94,116,121.19868,31.04957,121.202805,31.050377,1,212,302,1
95,116,121.19868,31.04957,121.202805,31.050377,5,303,393,1
96,116,121.19868,31.04957,121.202805,31.050377,6,468,558,1
97,116,121.19868,31.04957,121.21508,31.050501,1,248,338,1
98,116,121.19868,31.04957,121.21508,31.050501,1,539,629,1
99,116,121.19868,31.04957,121.223541,31.03047,2,282,372,1
100,116,121.19868,31.04957,121.2873,30.695353,1,275,365,1
101,116,121.19868,31.04957,121.205635,31.057669,1,211,301,1
102,116,121.19868,31.04957,121.228607,31.006319,1,601,691,1
103,116,121.19943,31.04968,121.229424,31.057896,1,230,320,1
104,116,121.19943,31.04968,121.199493,31.050938,1,281,371,1
105,116,121.19943,31.04968,121.199493,31.050938,1,543,633,1
106,116,121.19943,31.04968,121.187263,31.05117,2,252,342,1
107,116,121.19943,31.04968,121.217018,31.049732,2,268,358,1
108,116,121.19943,31.04968,121.1959,31.050434,1,296,386,1
109,116,121.19943,31.04968,121.202805,31.050377,1,595,685,1
110,116,121.19945,31.0497,121.229614,31.832016,1,472,562,1
111,116,121.19945,31.0497,121.199493,31.050938,1,236,326,1
112,116,121.19945,31.0497,121.199493,31.050938,1,563,653,1
113,116,121.19945,31.0497,121.217018,31.049732,1,317,407,1
114,116,121.19945,31.0497,121.218231,31.046228,1,580,670,1
115,116,121.19945,31.0497,121.1959,31.050434,1,311,401,1
116,116,121.19945,31.0497,121.1959,31.050434,1,623,713,1
117,116,121.19945,31.0497,121.197929,31.050875,1,597,687,1
118,116,121.19951,31.0494,121.217018,31.049732,3,434,524,1
119,116,121.1997,31.04956,121.199493,31.050938,3,454,544,1
120,116,121.1997,31.04956,121.202805,31.050377,3,571,661,1
121,116,121.19971,31.04985,121.204124,31.050911,2,245,335,1
122,116,121.19971,31.04985,121.204124,31.050911,3,603,693,1
123,116,121.19971,31.04985,121.544319,31.283875,1,228,318,1
124,116,121.19971,31.04985,120.875702,31.119118,2,534,624,1
125,116,121.19971,31.04985,121.211632,31.059235,1,228,318,1
126,116,121.19971,31.04985,121.211632,31.059235,3,589,679,1
127,116,121.19971,31.04985,121.218597,31.055817,3,599,689,1
128,116,121.19971,31.04985,121.229614,31.832016,1,247,337,1
129,116,121.19971,31.04985,121.209389,31.050249,1,508,598,1
130,116,121.19971,31.04985,121.199493,31.050938,2,222,312,1
131,116,121.19971,31.04985,121.199493,31.050938,5,285,375,1
132,116,121.19971,31.04985,121.199493,31.050938,2,393,483,1
133,116,121.19971,31.04985,121.199493,31.050938,1,483,573,1
134,116,121.19971,31.04985,121.199493,31.050938,1,536,626,1
135,116,121.19971,31.04985,121.197113,31.054916,1,348,438,1
136,116,121.19971,31.04985,121.299438,31.433102,3,215,305,1
137,116,121.19971,31.04985,121.299438,31.433102,1,371,461,1
138,116,121.19971,31.04985,121.217018,31.049732,1,236,326,1
139,116,121.19971,31.04985,121.217018,31.049732,1,316,406,1
140,116,121.19971,31.04985,121.217018,31.049732,1,605,695,1
141,116,121.19971,31.04985,121.1959,31.050434,1,508,598,1
142,116,121.19971,31.04985,121.202805,31.050377,1,495,585,1
143,116,121.19971,31.04985,121.001007,30.836681,1,256,346,1
144,116,121.19971,31.04985,121.265106,31.017986,1,252,342,1
145,116,121.19971,31.04985,121.208687,31.054615,1,327,417,1
146,116,121.19971,31.04985,121.2873,30.695353,1,251,341,1
147,116,121.19971,31.04985,121.2873,30.695353,2,570,660,1
148,116,121.19971,31.04985,121.205635,31.057669,1,466,556,1
149,116,121.19988,31.05158,121.199493,31.050938,1,218,308,1
150,116,121.19988,31.05158,121.197929,31.050875,6,343,433,1
151,116,121.20014,31.05208,121.001007,30.836681,1,270,360,1
152,116,121.20035,31.05107,121.1959,31.050434,1,425,515,1
153,116,121.2004,31.04909,121.199493,31.050938,1,235,325,1
154,116,121.2004,31.04909,121.187263,31.05117,1,614,704,1
155,116,121.2004,31.04909,121.19046,31.051914,1,218,308,1
156,116,121.20042,31.0517,121.218597,31.055817,1,295,385,1
157,116,121.20042,31.0517,121.199493,31.050938,1,459,549,1
158,116,121.20042,31.0517,121.299438,31.433102,1,237,327,1
159,116,121.20042,31.0517,121.202805,31.050377,1,218,308,1
160,116,121.20042,31.0517,121.001007,30.836681,1,250,340,1
161,116,121.20042,31.0517,121.19046,31.051914,1,219,309,1
162,116,121.20048,31.04954,121.197189,31.779171,2,462,552,1
163,116,121.20054,31.04952,121.199493,31.050938,1,534,624,1
164,116,121.20054,31.04952,121.1959,31.050434,2,217,307,1
165,116,121.20054,31.04952,121.567444,31.725246,2,262,352,1
166,116,121.20054,31.04952,121.001007,30.836681,6,295,385,1
167,116,121.20062,31.0497,121.229614,31.832016,3,310,400,1
168,116,121.20062,31.0497,121.1959,31.050434,1,525,615,1
169,116,121.20062,31.0497,121.205635,31.057669,1,511,601,1
170,116,121.20081,31.04038,121.299438,31.433102,2,223,313,1
171,116,121.20154,31.04963,121.1894,31.053415,2,222,312,1
172,116,121.20169,31.05123,121.202805,31.050377,2,211,301,1
173,116,121.20169,31.05123,121.202805,31.050377,1,441,531,1
174,116,121.20173,31.05006,121.202805,31.050377,1,220,310,1
175,116,121.20251,31.04982,121.229614,31.832016,1,262,352,1
176,116,121.20251,31.04982,121.199493,31.050938,1,416,506,1
177,116,121.20251,31.04982,121.217018,31.049732,1,600,690,1
178,116,121.20251,31.04982,121.205635,31.057669,1,450,540,1
179,116,121.20252,31.04941,121.209389,31.050249,1,491,581,1
180,116,121.20252,31.04941,121.567444,31.725246,1,468,558,1
181,116,121.20314,31.04951,121.544319,31.283875,2,580,670,1
182,116,121.20314,31.04951,121.211632,31.059235,1,222,312,1
183,116,121.20314,31.04951,121.209389,31.050249,2,214,304,1
184,116,121.20314,31.04951,121.197929,31.050875,2,449,539,1
185,116,121.20314,31.04951,121.202805,31.050377,1,425,515,1
186,116,121.20314,31.04951,121.19046,31.051914,2,360,450,1
187,116,121.20338,31.05147,121.275291,31.110199,2,475,565,1
188,116,121.20338,31.05147,121.211632,31.059235,3,228,318,1
189,116,121.20338,31.05147,121.39743,31.206272,1,238,328,1
190,116,121.20338,31.05147,121.299438,31.433102,1,309,399,1
191,116,121.20338,31.05147,121.21508,31.050501,1,377,467,1
192,116,121.20338,31.05147,121.001007,30.836681,2,497,587,1
193,116,121.20346,31.0494,121.217018,31.049732,1,375,465,1
194,116,121.20355,31.0496,121.211632,31.059235,1,257,347,1
195,116,121.20355,31.0496,121.202805,31.050377,2,366,456,1
196,116,121.20362,31.04989,121.211632,31.059235,1,451,541,1
197,116,121.20362,31.04989,121.218231,31.046228,5,437,527,1
198,116,121.20362,31.04989,121.202805,31.050377,1,497,587,1
199,116,121.20374,31.04933,121.202805,31.050377,1,352,442,1
200,116,121.20435,31.04987,121.198265,31.045639,2,477,567,1
201,116,121.20435,31.04987,121.001007,30.836681,11,497,587,1
202,116,121.20435,31.04987,121.2873,30.695353,3,285,375,1
203,116,121.20539,31.04976,121.229614,31.832016,1,329,419,1
204,116,121.20878,31.04958,120.875702,31.119118,1,522,612,1
205,116,121.20878,31.04958,121.472488,31.233086,1,576,666,1
206,116,121.20997,31.0494,121.218597,31.055817,1,615,705,1
207,116,121.20997,31.0494,121.199493,31.050938,1,210,300,1
208,116,121.21083,31.04189,121.229424,31.057896,2,629,719,1
209,116,121.21514,31.04986,121.197189,31.779171,1,312,402,1
210,116,121.21514,31.04986,121.211632,31.059235,1,500,590,1
211,116,121.21514,31.04986,121.211632,31.059235,1,611,701,1
212,116,121.21514,31.04986,121.218597,31.055817,1,555,645,1
213,116,121.21514,31.04986,121.218597,31.055817,2,575,665,1
214,116,121.21514,31.04986,121.001007,30.836681,2,335,425,1
215,116,121.21523,31.05095,121.211632,31.059235,2,478,568,1
216,105,121.21598,31.28769,121.216782,31.285625,1,571,661,1
217,116,121.21701,31.04957,121.211632,31.059235,2,629,719,1
218,116,121.21711,31.03825,121.214943,31.038059,1,551,641,1
219,116,121.2186,31.04959,121.218597,31.055817,2,553,643,1
220,116,121.2186,31.04959,121.220497,31.049629,1,210,300,1
221,116,121.21942,31.04942,121.226181,31.054743,16,369,459,1
222,9,121.22734,31.05438,121.229935,31.054401,1,298,388,1
223,9,121.23031,31.05501,121.230957,31.06086,6,487,577,1
224,9,121.23052,31.10895,121.230751,31.109438,8,599,689,1
225,9,121.23317,31.06296,121.235298,31.058435,2,291,381,1
226,9,121.23635,31.10705,121.252274,31.106329,1,257,347,1
227,9,121.23874,31.10803,121.231941,31.111341,3,586,676,1
228,9,121.24137,31.05876,121.24176,31.059116,2,324,414,1
229,9,121.24137,31.05876,121.001007,30.836681,4,271,361,1
230,12,121.24325,31.3668,121.235703,31.374361,3,345,435,1
231,12,121.24325,31.3668,121.249977,31.377104,3,582,672,1
232,12,121.24325,31.3668,121.246208,31.378229,2,538,628,1
233,35,121.26076,31.11676,121.263931,31.111771,1,322,412,1
234,35,121.26988,31.11459,121.26963,31.114132,2,233,323,1
235,102,121.31378,31.15121,121.291992,31.177902,6,521,611,1
236,102,121.3163,31.13522,121.294395,31.167295,4,597,687,1
237,102,121.31659,31.13394,121.31736,31.132875,1,347,437,1
238,102,121.33522,31.138,121.341637,31.144609,3,246,336,1
239,5,121.34388,31.14317,121.001007,30.836681,3,294,384,1
240,5,121.34431,31.14264,121.345879,31.141001,4,583,673,1
241,47,121.35184,31.23055,121.354271,31.231003,4,251,341,1
242,47,121.35184,31.23055,121.354271,31.231003,3,290,380,1
243,47,121.35184,31.23055,121.350121,31.232597,1,270,360,1
244,47,121.35184,31.23055,121.350121,31.232597,1,364,454,1
245,5,121.35196,31.14712,121.341637,31.144609,2,235,325,1
246,69,121.3604,31.21922,121.360916,31.219116,2,312,402,1
247,69,121.3604,31.21922,121.360916,31.219116,1,368,458,1
248,69,121.3604,31.21922,121.001007,30.836681,4,292,382,1
249,69,121.3604,31.21922,121.001007,30.836681,1,455,545,1
250,69,121.36153,31.21914,121.37674,31.209843,1,533,623,1
251,69,121.36386,31.21772,121.366463,31.228888,4,549,639,1
252,69,121.36386,31.21772,121.649162,30.945873,2,482,572,1
253,69,121.36514,31.21764,121.354271,31.231003,15,234,324,1
254,69,121.36514,31.21764,121.385681,31.221172,9,289,379,1
255,29,121.36571,31.31626,121.389198,31.310402,2,597,687,1
256,29,121.36571,31.31626,121.386459,31.311884,2,509,599,1
257,29,121.36571,31.31626,121.386475,31.314816,1,256,346,1
258,69,121.36813,31.21628,121.369911,31.201256,2,534,624,1
259,69,121.37251,31.21636,121.373734,31.217962,2,262,352,1
260,69,121.37251,31.21636,121.360016,31.204529,2,579,669,1
261,85,121.37263,31.21546,121.380829,31.222061,3,429,519,1
262,29,121.37445,31.31413,121.377289,31.315683,2,380,470,1
263,29,121.37445,31.31413,121.374817,31.313686,3,390,480,1
264,29,121.37445,31.31413,121.386475,31.314816,3,398,488,1
265,69,121.37481,31.21621,121.380272,31.217703,3,305,395,1
266,39,121.37751,31.09796,121.380829,31.102091,3,373,463,1
267,29,121.37851,31.31437,121.24929,31.379934,1,267,357,1
268,85,121.38224,31.2035,121.471733,31.229086,2,245,335,1
269,69,121.38452,31.25031,121.437286,31.237457,2,284,374,1
270,27,121.38536,31.31972,121.38887,31.316866,1,519,609,1
271,27,121.38536,31.31972,121.388962,31.308622,1,224,314,1
272,27,121.38573,31.32033,121.403183,31.327442,2,337,427,1
273,85,121.38651,31.21246,121.383453,31.212044,2,610,700,1
274,27,121.38669,31.31508,121.389198,31.310402,1,237,327,1
275,27,121.38669,31.31508,121.392387,31.315825,1,237,327,1
276,27,121.38669,31.31508,121.385361,31.319721,1,265,355,1
277,27,121.3868,31.31548,121.38887,31.316866,2,495,585,1
278,27,121.3868,31.31556,121.386459,31.311884,1,255,345,1
279,27,121.3868,31.31556,121.24929,31.379934,1,328,418,1
280,27,121.3868,31.31556,121.386475,31.314816,1,219,309,1
281,27,121.38682,31.31567,121.38887,31.316866,1,257,347,1
282,27,121.38688,31.31525,121.386475,31.314816,1,248,338,1
283,27,121.3869,31.31509,121.377289,31.315683,3,249,339,1
284,27,121.38703,31.31491,121.392387,31.315825,2,279,369,1
285,27,121.38703,31.31491,121.38887,31.316866,3,607,697,1
286,27,121.38703,31.31491,121.380165,31.314489,4,575,665,1
287,27,121.38703,31.31491,121.386475,31.314816,3,277,367,1
288,69,121.3873,31.24088,121.374069,31.23822,4,540,630,1
289,27,121.38791,31.31315,121.382401,31.310419,1,325,415,1
290,21,121.39076,31.02598,121.391479,31.024113,2,553,643,1
291,21,121.39182,31.02617,121.394096,31.029692,3,276,366,1
292,83,121.39191,31.31543,121.386459,31.311884,1,617,707,1
293,83,121.39191,31.31543,121.386475,31.314816,1,599,689,1
294,69,121.39196,31.24273,121.392418,31.242964,1,382,472,1
295,69,121.39196,31.24273,121.392418,31.242964,1,549,639,1
296,21,121.39203,31.02599,121.391479,31.024113,7,627,717,1
297,21,121.39203,31.02599,121.393478,31.024921,2,416,506,1
298,21,121.39203,31.02599,121.39653,31.025841,2,577,667,1
299,69,121.39269,31.23995,121.390381,31.239904,1,402,492,1
300,21,121.39313,31.02568,121.393478,31.024921,1,251,341,1
301,63,121.39488,31.17669,121.39167,31.176065,1,383,473,1
302,52,121.39549,31.17342,121.413635,31.249926,6,594,684,1
303,45,121.39623,31.22315,121.409691,31.229528,8,225,315,1
304,45,121.39623,31.22315,121.472488,31.233086,13,591,681,1
305,45,121.39623,31.22315,121.404106,31.213856,14,454,544,1
306,45,121.39623,31.22315,121.393364,31.224333,12,350,440,1
307,45,121.39683,31.2143,121.393501,31.212091,6,244,334,1
308,45,121.39683,31.2143,121.391876,31.210011,1,305,395,1
309,45,121.39698,31.21457,121.385941,31.216314,2,427,517,1
310,90,121.39755,31.12263,121.388672,31.122461,2,278,368,1
311,45,121.39764,31.2148,121.405228,31.216084,1,213,303,1
312,45,121.39894,31.23008,121.407043,31.229284,1,264,354,1
313,24,121.39933,31.15972,121.395172,31.154253,3,279,369,1
314,24,121.39957,31.16008,121.407806,31.172575,1,589,679,1
315,90,121.39995,31.15749,121.393997,31.166761,2,319,409,1
316,81,121.40141,31.24825,121.397522,31.258545,2,539,629,1
317,81,121.40141,31.24825,121.398521,31.246498,4,440,530,1
318,45,121.40206,31.23149,121.385338,31.237413,14,538,628,1
319,45,121.40206,31.23149,121.411148,31.227022,11,624,714,1
320,45,121.40206,31.23149,121.401039,31.233717,7,624,714,1
321,45,121.40206,31.23149,121.391968,31.230484,2,527,617,1
322,45,121.40206,31.23149,121.398956,31.229559,3,574,664,1
323,45,121.40206,31.23149,121.407043,31.229284,16,214,304,1
324,45,121.40206,31.23149,121.390564,31.234108,8,255,345,1
325,45,121.40206,31.23149,121.404182,31.243086,2,408,498,1
326,45,121.40206,31.23149,121.2873,30.695353,2,576,666,1
327,45,121.40206,31.23149,121.403183,31.232286,1,446,536,1
328,63,121.40215,31.20993,121.420021,31.218647,1,321,411,1
329,63,121.40445,31.20608,121.399902,31.202211,2,341,431,1
330,63,121.40445,31.20608,120.910721,31.019789,2,285,375,1
331,24,121.40574,31.16138,121.402458,31.15209,10,274,364,1
332,45,121.40781,31.23153,121.40345,31.228634,1,325,415,1
333,45,121.40811,31.21319,121.402596,31.210678,1,365,455,1
334,63,121.40843,31.18371,121.393333,31.194332,9,273,363,1
335,63,121.40843,31.18371,121.395973,31.187878,14,210,300,1
336,63,121.40843,31.18371,121.392502,31.181524,18,594,684,1
337,63,121.40843,31.18371,121.387886,31.186798,17,270,360,1
338,63,121.40843,31.18371,121.425659,31.183657,14,213,303,1
339,63,121.40843,31.18371,121.403328,31.183678,18,507,597,1
340,45,121.40902,31.21258,121.418152,31.220224,1,332,422,1
341,45,121.40944,31.23428,121.299438,31.433102,1,597,687,1
342,45,121.41077,31.22713,121.391968,31.230484,3,525,615,1
343,24,121.41095,31.16837,121.409088,31.17709,14,210,300,1
344,24,121.41095,31.16837,121.419998,31.176779,12,596,686,1
345,24,121.41095,31.16837,121.425247,31.166656,13,504,594,1
346,24,121.41097,31.16854,121.402695,31.169407,2,308,398,1
347,24,121.4112,31.16726,121.409088,31.17709,2,476,566,1
348,24,121.4112,31.16726,121.411491,31.171415,1,231,321,1
349,45,121.41208,31.21257,121.411942,31.213152,2,269,359,1
350,24,121.41252,31.16393,121.393005,31.159569,3,479,569,1
351,94,121.41289,31.13638,121.402382,31.138214,1,240,330,1
352,24,121.4135,31.1691,121.404396,31.164349,1,366,456,1
353,94,121.41352,31.13797,121.402084,31.14603,1,358,448,1
354,46,121.41378,31.20105,121.391228,31.20281,2,237,327,1
355,46,121.41378,31.20105,121.427811,31.210625,2,377,467,1
356,46,121.41378,31.20105,121.001007,30.836681,1,585,675,1
357,46,121.41378,31.20105,121.392616,31.197374,3,584,674,1
358,46,121.41378,31.20105,121.504677,31.278322,3,602,692,1
359,46,121.41435,31.20022,121.211632,31.059235,2,259,349,1
360,81,121.41451,31.23697,121.401039,31.233717,2,232,322,1
361,81,121.41451,31.23697,121.472488,31.233086,3,238,328,1
362,81,121.41451,31.23697,121.472488,31.233086,4,613,703,1
363,81,121.41451,31.23697,121.413109,31.237518,2,278,368,1
364,81,121.41451,31.23697,121.413002,31.23028,1,236,326,1
365,81,121.41451,31.23697,121.414314,31.236895,3,265,355,1
366,81,121.41451,31.23697,121.414314,31.236895,5,308,398,1
367,81,121.41451,31.23697,121.414314,31.236895,2,348,438,1
368,81,121.41451,31.23697,121.414314,31.236895,3,407,497,1
369,81,121.41451,31.23697,121.420807,31.234308,4,288,378,1
370,81,121.41451,31.23697,121.41996,31.231419,2,229,319,1
371,81,121.41451,31.23697,121.413124,31.227392,2,595,685,1
