,Shop_id,shop_class,Lng_shop,Lat_shop,Lng_spot,Lat_spot,Num,start_time,end_time,spot_class
1,1,108,121.18938,31.04398,121.199493,31.050938,1,519,609,116
2,1,108,121.18938,31.04398,121.220497,31.049629,1,529,619,116
3,1,108,121.18938,31.04398,121.218231,31.046228,3,448,538,116
4,1,108,121.18938,31.04398,121.202805,31.050377,1,216,306,116
5,1,108,121.18938,31.04398,121.202805,31.050377,1,588,678,116
6,2,116,121.19011,31.04514,121.217018,31.049732,5,628,718,116
7,3,116,121.19065,31.05253,121.1894,31.053415,1,269,359,116
8,3,116,121.19065,31.05253,121.199493,31.050938,1,375,465,116
9,3,116,121.19065,31.05253,121.197113,31.054916,2,229,319,116
10,3,116,121.19065,31.05253,121.197113,31.054916,4,299,389,116
11,3,116,121.19065,31.05253,121.197113,31.054916,1,581,671,116
12,3,116,121.19065,31.05253,121.299438,31.433102,6,384,474,12
13,3,116,121.19065,31.05253,121.299438,31.433102,5,568,658,12
14,3,116,121.19065,31.05253,121.217018,31.049732,3,274,364,116
15,3,116,121.19065,31.05253,121.197929,31.050875,1,501,591,116
16,3,116,121.19065,31.05253,121.2873,30.695353,1,568,658,61
17,3,116,121.19065,31.05253,121.19046,31.051914,1,393,483,116
18,4,116,121.19215,31.04359,121.208267,31.038284,1,309,399,116
19,4,116,121.19215,31.04359,121.192482,31.04207,1,601,691,116
20,4,116,121.19215,31.04359,121.187263,31.05117,1,252,342,108
21,4,116,121.19215,31.04359,121.217018,31.049732,1,217,307,116
22,4,116,121.19215,31.04359,121.19091,31.049822,2,269,359,116
23,4,116,121.19215,31.04359,121.19046,31.051914,2,236,326,116
24,5,116,121.19285,31.04882,121.197113,31.054916,1,519,609,116
25,7,116,121.19292,31.04352,121.299438,31.433102,11,450,540,12
26,8,116,121.19516,31.04743,121.218231,31.046228,1,596,686,116
27,10,116,121.19666,31.05031,121.199493,31.050938,7,583,673,116
28,10,116,121.19666,31.05031,121.202805,31.050377,8,597,687,116
29,11,116,121.19746,31.04984,121.217873,31.042234,3,613,703,116
30,11,116,121.19746,31.04984,121.199493,31.050938,2,289,379,116
31,11,116,121.19746,31.04984,121.197113,31.054916,1,621,711,116
32,11,116,121.19746,31.04984,121.217018,31.049732,1,354,444,116
33,11,116,121.19746,31.04984,121.1959,31.050434,1,241,331,116
34,11,116,121.19746,31.04984,121.197929,31.050875,2,582,672,116
35,11,116,121.19746,31.04984,121.223541,31.03047,1,298,388,116
36,11,116,121.19746,31.04984,121.208687,31.054615,1,547,637,116
37,12,116,121.19769,31.04961,120.875702,31.119118,2,557,647,75
38,12,116,121.19769,31.04961,121.229614,31.832016,1,324,414,66
39,12,116,121.19769,31.04961,121.209389,31.050249,1,598,688,116
40,12,116,121.19769,31.04961,121.199493,31.050938,1,453,543,116
41,12,116,121.19769,31.04961,121.199493,31.050938,3,627,717,116
42,12,116,121.19769,31.04961,121.217018,31.049732,1,624,714,116
43,12,116,121.19769,31.04961,121.228935,31.04467,1,596,686,9
44,12,116,121.19769,31.04961,121.21508,31.050501,1,259,349,116
45,13,116,121.19771,31.04961,121.198265,31.045639,3,624,714,116
46,14,116,121.19773,31.04975,121.204124,31.050911,1,414,504,116
47,14,116,121.19773,31.04975,120.875702,31.119118,1,343,433,75
48,14,116,121.19773,31.04975,121.417244,31.226173,1,222,312,45
49,14,116,121.19773,31.04975,121.229614,31.832016,1,562,652,66
50,14,116,121.19773,31.04975,121.199493,31.050938,1,533,623,116
51,14,116,121.19773,31.04975,121.217018,31.049732,2,255,345,116
52,14,116,121.19773,31.04975,121.217018,31.049732,1,610,700,116
53,14,116,121.19773,31.04975,121.1959,31.050434,3,253,343,116
54,14,116,121.19773,31.04975,121.1959,31.050434,1,553,643,116
55,14,116,121.19773,31.04975,121.202805,31.050377,1,599,689,116
56,14,116,121.19773,31.04975,121.19046,31.051914,1,605,695,116
57,15,116,121.1982,31.04958,121.199493,31.050938,1,264,354,116
58,15,116,121.1982,31.04958,121.199493,31.050938,1,564,654,116
59,15,116,121.1982,31.04958,121.197929,31.050875,1,293,383,116
60,16,116,121.19868,31.04957,121.204124,31.050911,2,300,390,116
61,16,116,121.19868,31.04957,121.1894,31.053415,1,283,373,116
62,16,116,121.19868,31.04957,120.875702,31.119118,4,404,494,75
63,16,116,121.19868,31.04957,121.39743,31.206272,1,509,599,63
64,16,116,121.19868,31.04957,121.229614,31.832016,2,542,632,66
65,16,116,121.19868,31.04957,121.209389,31.050249,2,386,476,116
66,16,116,121.19868,31.04957,121.209389,31.050249,1,623,713,116
67,16,116,121.19868,31.04957,121.199493,31.050938,4,248,338,116
68,16,116,121.19868,31.04957,121.199493,31.050938,6,284,374,116
69,16,116,121.19868,31.04957,121.199493,31.050938,1,335,425,116
70,16,116,121.19868,31.04957,121.199493,31.050938,14,493,583,116
71,16,116,121.19868,31.04957,121.199493,31.050938,2,549,639,116
72,16,116,121.19868,31.04957,121.199493,31.050938,2,597,687,116
73,16,116,121.19868,31.04957,121.187263,31.05117,1,521,611,108
74,16,116,121.19868,31.04957,121.299438,31.433102,1,232,322,12
75,16,116,121.19868,31.04957,121.217018,31.049732,1,221,311,116
76,16,116,121.19868,31.04957,121.217018,31.049732,2,269,359,116
77,16,116,121.19868,31.04957,121.217018,31.049732,1,329,419,116
78,16,116,121.19868,31.04957,121.217018,31.049732,13,427,517,116
79,16,116,121.19868,31.04957,121.217018,31.049732,1,458,548,116
80,16,116,121.19868,31.04957,121.217018,31.049732,3,567,657,116
81,16,116,121.19868,31.04957,121.217018,31.049732,1,602,692,116
82,16,116,121.19868,31.04957,121.218231,31.046228,5,545,635,116
83,16,116,121.19868,31.04957,121.198265,31.045639,1,249,339,116
84,16,116,121.19868,31.04957,121.198265,31.045639,1,372,462,116
85,16,116,121.19868,31.04957,121.198265,31.045639,1,501,591,116
86,16,116,121.19868,31.04957,121.1959,31.050434,2,252,342,116
87,16,116,121.19868,31.04957,121.1959,31.050434,2,299,389,116
88,16,116,121.19868,31.04957,121.1959,31.050434,1,433,523,116
89,16,116,121.19868,31.04957,121.1959,31.050434,1,547,637,116
90,16,116,121.19868,31.04957,121.1959,31.050434,3,610,700,116
91,16,116,121.19868,31.04957,121.197929,31.050875,1,218,308,116
92,16,116,121.19868,31.04957,121.197929,31.050875,3,265,355,116
93,16,116,121.19868,31.04957,121.197929,31.050875,2,310,400,116
94,16,116,121.19868,31.04957,121.202805,31.050377,1,212,302,116
95,16,116,121.19868,31.04957,121.202805,31.050377,5,303,393,116
96,16,116,121.19868,31.04957,121.202805,31.050377,6,468,558,116
97,16,116,121.19868,31.04957,121.21508,31.050501,1,248,338,116
98,16,116,121.19868,31.04957,121.21508,31.050501,1,539,629,116
99,16,116,121.19868,31.04957,121.223541,31.03047,2,282,372,116
100,16,116,121.19868,31.04957,121.2873,30.695353,1,275,365,61
101,16,116,121.19868,31.04957,121.205635,31.057669,1,211,301,116
102,16,116,121.19868,31.04957,121.228607,31.006319,1,601,691,116
103,17,116,121.19943,31.04968,121.229424,31.057896,1,230,320,9
104,17,116,121.19943,31.04968,121.199493,31.050938,1,281,371,116
105,17,116,121.19943,31.04968,121.199493,31.050938,1,543,633,116
106,17,116,121.19943,31.04968,121.187263,31.05117,2,252,342,108
107,17,116,121.19943,31.04968,121.217018,31.049732,2,268,358,116
108,17,116,121.19943,31.04968,121.1959,31.050434,1,296,386,116
109,17,116,121.19943,31.04968,121.202805,31.050377,1,595,685,116
110,18,116,121.19945,31.0497,121.229614,31.832016,1,472,562,66
111,18,116,121.19945,31.0497,121.199493,31.050938,1,236,326,116
112,18,116,121.19945,31.0497,121.199493,31.050938,1,563,653,116
113,18,116,121.19945,31.0497,121.217018,31.049732,1,317,407,116
114,18,116,121.19945,31.0497,121.218231,31.046228,1,580,670,116
115,18,116,121.19945,31.0497,121.1959,31.050434,1,311,401,116
116,18,116,121.19945,31.0497,121.1959,31.050434,1,623,713,116
117,18,116,121.19945,31.0497,121.197929,31.050875,1,597,687,116
118,19,116,121.19951,31.0494,121.217018,31.049732,3,434,524,116
119,20,116,121.1997,31.04956,121.199493,31.050938,3,454,544,116
120,20,116,121.1997,31.04956,121.202805,31.050377,3,571,661,116
121,21,116,121.19971,31.04985,121.204124,31.050911,2,245,335,116
122,21,116,121.19971,31.04985,121.204124,31.050911,3,603,693,116
123,21,116,121.19971,31.04985,121.544319,31.283875,1,228,318,104
124,21,116,121.19971,31.04985,120.875702,31.119118,2,534,624,75
125,21,116,121.19971,31.04985,121.211632,31.059235,1,228,318,116
126,21,116,121.19971,31.04985,121.211632,31.059235,3,589,679,116
127,21,116,121.19971,31.04985,121.218597,31.055817,3,599,689,116
128,21,116,121.19971,31.04985,121.229614,31.832016,1,247,337,66
129,21,116,121.19971,31.04985,121.209389,31.050249,1,508,598,116
130,21,116,121.19971,31.04985,121.199493,31.050938,2,222,312,116
131,21,116,121.19971,31.04985,121.199493,31.050938,5,285,375,116
132,21,116,121.19971,31.04985,121.199493,31.050938,2,393,483,116
133,21,116,121.19971,31.04985,121.199493,31.050938,1,483,573,116
134,21,116,121.19971,31.04985,121.199493,31.050938,1,536,626,116
135,21,116,121.19971,31.04985,121.197113,31.054916,1,348,438,116
136,21,116,121.19971,31.04985,121.299438,31.433102,3,215,305,12
137,21,116,121.19971,31.04985,121.299438,31.433102,1,371,461,12
138,21,116,121.19971,31.04985,121.217018,31.049732,1,236,326,116
139,21,116,121.19971,31.04985,121.217018,31.049732,1,316,406,116
140,21,116,121.19971,31.04985,121.217018,31.049732,1,605,695,116
141,21,116,121.19971,31.04985,121.1959,31.050434,1,508,598,116
142,21,116,121.19971,31.04985,121.202805,31.050377,1,495,585,116
143,21,116,121.19971,31.04985,121.001007,30.836681,1,256,346,30
144,21,116,121.19971,31.04985,121.265106,31.017986,1,252,342,112
145,21,116,121.19971,31.04985,121.208687,31.054615,1,327,417,116
146,21,116,121.19971,31.04985,121.2873,30.695353,1,251,341,61
147,21,116,121.19971,31.04985,121.2873,30.695353,2,570,660,61
148,21,116,121.19971,31.04985,121.205635,31.057669,1,466,556,116
149,22,116,121.19988,31.05158,121.199493,31.050938,1,218,308,116
150,22,116,121.19988,31.05158,121.197929,31.050875,6,343,433,116
151,23,116,121.20014,31.05208,121.001007,30.836681,1,270,360,30
152,24,116,121.20035,31.05107,121.1959,31.050434,1,425,515,116
153,25,116,121.2004,31.04909,121.199493,31.050938,1,235,325,116
154,25,116,121.2004,31.04909,121.187263,31.05117,1,614,704,108
155,25,116,121.2004,31.04909,121.19046,31.051914,1,218,308,116
156,26,116,121.20042,31.0517,121.218597,31.055817,1,295,385,116
157,26,116,121.20042,31.0517,121.199493,31.050938,1,459,549,116
158,26,116,121.20042,31.0517,121.299438,31.433102,1,237,327,12
159,26,116,121.20042,31.0517,121.202805,31.050377,1,218,308,116
160,26,116,121.20042,31.0517,121.001007,30.836681,1,250,340,30
161,26,116,121.20042,31.0517,121.19046,31.051914,1,219,309,116
162,27,116,121.20048,31.04954,121.197189,31.779171,2,462,552,66
163,28,116,121.20054,31.04952,121.199493,31.050938,1,534,624,116
164,28,116,121.20054,31.04952,121.1959,31.050434,2,217,307,116
165,28,116,121.20054,31.04952,121.567444,31.725246,2,262,352,31
166,28,116,121.20054,31.04952,121.001007,30.836681,6,295,385,30
167,30,116,121.20062,31.0497,121.229614,31.832016,3,310,400,66
168,30,116,121.20062,31.0497,121.1959,31.050434,1,525,615,116
169,30,116,121.20062,31.0497,121.205635,31.057669,1,511,601,116
170,33,116,121.20081,31.04038,121.299438,31.433102,2,223,313,12
171,36,116,121.20154,31.04963,121.1894,31.053415,2,222,312,116
172,37,116,121.20169,31.05123,121.202805,31.050377,2,211,301,116
173,37,116,121.20169,31.05123,121.202805,31.050377,1,441,531,116
174,38,116,121.20173,31.05006,121.202805,31.050377,1,220,310,116
175,39,116,121.20251,31.04982,121.229614,31.832016,1,262,352,66
176,39,116,121.20251,31.04982,121.199493,31.050938,1,416,506,116
177,39,116,121.20251,31.04982,121.217018,31.049732,1,600,690,116
178,39,116,121.20251,31.04982,121.205635,31.057669,1,450,540,116
179,40,116,121.20252,31.04941,121.209389,31.050249,1,491,581,116
180,40,116,121.20252,31.04941,121.567444,31.725246,1,468,558,31
181,43,116,121.20314,31.04951,121.544319,31.283875,2,580,670,104
182,43,116,121.20314,31.04951,121.211632,31.059235,1,222,312,116
183,43,116,121.20314,31.04951,121.209389,31.050249,2,214,304,116
184,43,116,121.20314,31.04951,121.197929,31.050875,2,449,539,116
185,43,116,121.20314,31.04951,121.202805,31.050377,1,425,515,116
186,43,116,121.20314,31.04951,121.19046,31.051914,2,360,450,116
187,45,116,121.20338,31.05147,121.275291,31.110199,2,475,565,35
188,45,116,121.20338,31.05147,121.211632,31.059235,3,228,318,116
189,45,116,121.20338,31.05147,121.39743,31.206272,1,238,328,63
190,45,116,121.20338,31.05147,121.299438,31.433102,1,309,399,12
191,45,116,121.20338,31.05147,121.21508,31.050501,1,377,467,116
192,45,116,121.20338,31.05147,121.001007,30.836681,2,497,587,30
193,47,116,121.20346,31.0494,121.217018,31.049732,1,375,465,116
194,48,116,121.20355,31.0496,121.211632,31.059235,1,257,347,116
195,48,116,121.20355,31.0496,121.202805,31.050377,2,366,456,116
196,50,116,121.20362,31.04989,121.211632,31.059235,1,451,541,116
197,50,116,121.20362,31.04989,121.218231,31.046228,5,437,527,116
198,50,116,121.20362,31.04989,121.202805,31.050377,1,497,587,116
199,52,116,121.20374,31.04933,121.202805,31.050377,1,352,442,116
200,54,116,121.20435,31.04987,121.198265,31.045639,2,477,567,116
201,54,116,121.20435,31.04987,121.001007,30.836681,11,497,587,30
202,54,116,121.20435,31.04987,121.2873,30.695353,3,285,375,61
203,56,116,121.20539,31.04976,121.229614,31.832016,1,329,419,66
204,59,116,121.20878,31.04958,120.875702,31.119118,1,522,612,75
205,59,116,121.20878,31.04958,121.472488,31.233086,1,576,666,98
206,61,116,121.20997,31.0494,121.218597,31.055817,1,615,705,116
207,61,116,121.20997,31.0494,121.199493,31.050938,1,210,300,116
208,62,116,121.21083,31.04189,121.229424,31.057896,2,629,719,9
209,64,116,121.21514,31.04986,121.197189,31.779171,1,312,402,66
210,64,116,121.21514,31.04986,121.211632,31.059235,1,500,590,116
211,64,116,121.21514,31.04986,121.211632,31.059235,1,611,701,116
212,64,116,121.21514,31.04986,121.218597,31.055817,1,555,645,116
213,64,116,121.21514,31.04986,121.218597,31.055817,2,575,665,116
214,64,116,121.21514,31.04986,121.001007,30.836681,2,335,425,30
215,65,116,121.21523,31.05095,121.211632,31.059235,2,478,568,116
216,66,105,121.21598,31.28769,121.216782,31.285625,1,571,661,105
217,68,116,121.21701,31.04957,121.211632,31.059235,2,629,719,116
218,69,116,121.21711,31.03825,121.214943,31.038059,1,551,641,116
219,73,116,121.2186,31.04959,121.218597,31.055817,2,553,643,116
220,73,116,121.2186,31.04959,121.220497,31.049629,1,210,300,116
221,74,116,121.21942,31.04942,121.226181,31.054743,16,369,459,9
222,75,9,121.22734,31.05438,121.229935,31.054401,1,298,388,9
223,77,9,121.23031,31.05501,121.230957,31.06086,6,487,577,9
224,78,9,121.23052,31.10895,121.230751,31.109438,8,599,689,9
225,82,9,121.23317,31.06296,121.235298,31.058435,2,291,381,9
226,83,9,121.23635,31.10705,121.252274,31.106329,1,257,347,35
227,84,9,121.23874,31.10803,121.231941,31.111341,3,586,676,9
228,85,9,121.24137,31.05876,121.24176,31.059116,2,324,414,9
229,85,9,121.24137,31.05876,121.001007,30.836681,4,271,361,30
230,86,12,121.24325,31.3668,121.235703,31.374361,3,345,435,12
231,86,12,121.24325,31.3668,121.249977,31.377104,3,582,672,12
232,86,12,121.24325,31.3668,121.246208,31.378229,2,538,628,12
233,88,35,121.26076,31.11676,121.263931,31.111771,1,322,412,35
234,90,35,121.26988,31.11459,121.26963,31.114132,2,233,323,35
235,91,102,121.31378,31.15121,121.291992,31.177902,6,521,611,35
236,92,102,121.3163,31.13522,121.294395,31.167295,4,597,687,35
237,93,102,121.31659,31.13394,121.31736,31.132875,1,347,437,102
238,95,102,121.33522,31.138,121.341637,31.144609,3,246,336,102
239,97,5,121.34388,31.14317,121.001007,30.836681,3,294,384,30
240,98,5,121.34431,31.14264,121.345879,31.141001,4,583,673,5
241,99,47,121.35184,31.23055,121.354271,31.231003,4,251,341,47
242,99,47,121.35184,31.23055,121.354271,31.231003,3,290,380,47
243,99,47,121.35184,31.23055,121.350121,31.232597,1,270,360,47
244,99,47,121.35184,31.23055,121.350121,31.232597,1,364,454,47
245,100,5,121.35196,31.14712,121.341637,31.144609,2,235,325,102
246,101,69,121.3604,31.21922,121.360916,31.219116,2,312,402,69
247,101,69,121.3604,31.21922,121.360916,31.219116,1,368,458,69
248,101,69,121.3604,31.21922,121.001007,30.836681,4,292,382,30
249,101,69,121.3604,31.21922,121.001007,30.836681,1,455,545,30
250,102,69,121.36153,31.21914,121.37674,31.209843,1,533,623,85
251,103,69,121.36386,31.21772,121.366463,31.228888,4,549,639,69
252,103,69,121.36386,31.21772,121.649162,30.945873,2,482,572,38
253,105,69,121.36514,31.21764,121.354271,31.231003,15,234,324,47
254,105,69,121.36514,31.21764,121.385681,31.221172,9,289,379,69
255,106,29,121.36571,31.31626,121.389198,31.310402,2,597,687,27
256,106,29,121.36571,31.31626,121.386459,31.311884,2,509,599,27
257,106,29,121.36571,31.31626,121.386475,31.314816,1,256,346,27
258,107,69,121.36813,31.21628,121.369911,31.201256,2,534,624,85
259,108,69,121.37251,31.21636,121.373734,31.217962,2,262,352,69
260,108,69,121.37251,31.21636,121.360016,31.204529,2,579,669,85
261,110,85,121.37263,31.21546,121.380829,31.222061,3,429,519,69
262,111,29,121.37445,31.31413,121.377289,31.315683,2,380,470,29
263,111,29,121.37445,31.31413,121.374817,31.313686,3,390,480,29
264,111,29,121.37445,31.31413,121.386475,31.314816,3,398,488,27
265,112,69,121.37481,31.21621,121.380272,31.217703,3,305,395,69
266,114,39,121.37751,31.09796,121.380829,31.102091,3,373,463,39
267,116,29,121.37851,31.31437,121.24929,31.379934,1,267,357,12
268,121,85,121.38224,31.2035,121.471733,31.229086,2,245,335,98
269,122,69,121.38452,31.25031,121.437286,31.237457,2,284,374,121
270,124,27,121.38536,31.31972,121.38887,31.316866,1,519,609,27
271,124,27,121.38536,31.31972,121.388962,31.308622,1,224,314,27
272,125,27,121.38573,31.32033,121.403183,31.327442,2,337,427,16
273,128,85,121.38651,31.21246,121.383453,31.212044,2,610,700,85
