Order_id,Spot_id,Shop_id,Num,Lng_shop,Lat_shop,Lng_spot,Lat_spot,start_time,end_time,shop_class,spot_class
E0005,B3341,S001,1,121.18938,31.04398,121.199493,31.050938,519,609,108,116
E0008,B4012,S001,1,121.18938,31.04398,121.220497,31.049629,529,619,108,116
E0011,B4765,S001,3,121.18938,31.04398,121.218231,31.046228,448,538,108,116
E0014,B6315,S001,1,121.18938,31.04398,121.202805,31.050377,216,306,108,116
E0017,B6315,S001,1,121.18938,31.04398,121.202805,31.050377,588,678,108,116
E0023,B0434,S002,5,121.19011,31.04514,121.217018,31.049732,628,718,116,116
E0026,B1412,S003,1,121.19065,31.05253,121.1894,31.053415,269,359,116,116
E0029,B3341,S003,1,121.19065,31.05253,121.199493,31.050938,375,465,116,116
E0032,B3569,S003,2,121.19065,31.05253,121.197113,31.054916,229,319,116,116
E0035,B3569,S003,4,121.19065,31.05253,121.197113,31.054916,299,389,116,116
E0038,B3569,S003,1,121.19065,31.05253,121.197113,31.054916,581,671,116,116
E0041,B3960,S003,6,121.19065,31.05253,121.299438,31.433102,384,474,116,12
E0044,B3960,S003,5,121.19065,31.05253,121.299438,31.433102,568,658,116,12
E0047,B0434,S003,3,121.19065,31.05253,121.217018,31.049732,274,364,116,116
E0050,B0064,S003,1,121.19065,31.05253,121.197929,31.050875,501,591,116,116
E0053,B7768,S003,1,121.19065,31.05253,121.2873,30.695353,568,658,116,61
E0056,B7861,S003,1,121.19065,31.05253,121.19046,31.051914,393,483,116,116
E0059,B1292,S004,1,121.19215,31.04359,121.208267,31.038284,309,399,116,116
E0062,B1425,S004,1,121.19215,31.04359,121.192482,31.04207,601,691,116,116
E0065,B3481,S004,1,121.19215,31.04359,121.187263,31.05117,252,342,116,108
E0068,B0434,S004,1,121.19215,31.04359,121.217018,31.049732,217,307,116,116
E0071,B6629,S004,2,121.19215,31.04359,121.19091,31.049822,269,359,116,116
E0074,B7861,S004,2,121.19215,31.04359,121.19046,31.051914,236,326,116,116
E0077,B3569,S005,1,121.19285,31.04882,121.197113,31.054916,519,609,116,116
E0080,B3960,S007,11,121.19292,31.04352,121.299438,31.433102,450,540,116,12
E0083,B4765,S008,1,121.19516,31.04743,121.218231,31.046228,596,686,116,116
E0089,B3341,S010,7,121.19666,31.05031,121.199493,31.050938,583,673,116,116
E0092,B6315,S010,8,121.19666,31.05031,121.202805,31.050377,597,687,116,116
E0095,B3155,S011,3,121.19746,31.04984,121.217873,31.042234,613,703,116,116
E0098,B3341,S011,2,121.19746,31.04984,121.199493,31.050938,289,379,116,116
E0101,B3569,S011,1,121.19746,31.04984,121.197113,31.054916,621,711,116,116
E0104,B0434,S011,1,121.19746,31.04984,121.217018,31.049732,354,444,116,116
E0107,B5710,S011,1,121.19746,31.04984,121.1959,31.050434,241,331,116,116
E0110,B0064,S011,2,121.19746,31.04984,121.197929,31.050875,582,672,116,116
E0113,B6449,S011,1,121.19746,31.04984,121.223541,31.03047,298,388,116,116
E0116,B7375,S011,1,121.19746,31.04984,121.208687,31.054615,547,637,116,116
E0119,B1548,S012,2,121.19769,31.04961,120.875702,31.119118,557,647,116,75
E0122,B3058,S012,1,121.19769,31.04961,121.229614,31.832016,324,414,116,66
E0125,B3062,S012,1,121.19769,31.04961,121.209389,31.050249,598,688,116,116
E0128,B3341,S012,1,121.19769,31.04961,121.199493,31.050938,453,543,116,116
E0131,B3341,S012,3,121.19769,31.04961,121.199493,31.050938,627,717,116,116
E0134,B0434,S012,1,121.19769,31.04961,121.217018,31.049732,624,714,116,116
E0137,B5948,S012,1,121.19769,31.04961,121.228935,31.04467,596,686,116,9
E0140,B6350,S012,1,121.19769,31.04961,121.21508,31.050501,259,349,116,116
E0146,B5143,S013,3,121.19771,31.04961,121.198265,31.045639,624,714,116,116
